"PhonologicalForm","WrittenForm","SynCatCode","Freq","StressPattern"
"'AnormAl","آنرمال","A0","1","WWS"
"'anqA","عنقا","N1","3","WS"
"'Anqadr","آنقدر","Ad","1","WS"
"'anqarib","عنقريب","Ad","15","WWS"
"'Anqore","آنقره","N1","1","WWS"
"'Anqut","آنقوت","N1","1","WS"
"'anqut","انغوط","N1","1","WS"
"'anquze","انغوزه","N1","1","WWS"
"'ansAb","انساب","N1","5","WS"
"'ansab","انسب","A0","1","WS"
"'ansAj","انساج","N1","5","WS"
"'anSAn","انشان","N2","1","WS"
"'ansAr","انصار","N1","42","WS"
"'ansAri","انصاري","N4","210","WWS"
"'ansAripur","انصاري‌پور","N4","1","WWWS"
"'ansAriyAn","انصاريان","N4","45","WWWS"
"'ansArolmahdi","انصارالمهدي","N1","2","WWWWS"
"'ansArolmojAhedin","انصارالمجاهدين","N1","1","WWWWWWS"
"'AnsefAlit","آنسفاليت","N1","1","WWWS"
"'ansiklopedi","انسيكلوپدي","N1","1","WWWWS"
"'ansiklopedist","انسيكلوپديست","N1","1","WWWWS"
"'ansolin","انسولين","N1","210","WWS"
"'ansolini","انسوليني","A0","3","WWWS"
"'Ansu","آن‌سو","Ad","3","WS"
"'AntAgonism","آنتاگونيسم","N1","1","WWWS"
"'antAki","انطاكي","A0","1","WWS"
"'antAkiye","انطاكيه","N2","30","WWWS"
"'AntAliyA","آنتاليا","N2","4","WWWS"
"'AntAlpi","آنتالپي","N1","1","WWS"
"'antar","انتر","N1","1","WS"
"'antar","عنتر","N1","1","WS"
"'antari","عنتري","N1","1","WWS"
"'antegrAl","انتگرال","N1","4","WWS"
"'antelektu'el","انتلكتوئل","A0","1","WWWWS"
"'Anten","آنتن","N1","15","WS"
"'AnterAkt","آنتراكت","N1","1","WWS"
"'antern","انترن","N1","1","WS"
"'anternAsiyonAl","انترناسيونال","N1","1","WWWWWS"
"'anternAsiyonAlism","انترناسيوناليسم","N1","1","WWWWWWS"
"'anternAsiyonAlist","انترناسيوناليست","A0","1","WWWWWWS"
"'anternAsyonAlisti","انترناسيوناليستي","A0","4","WWWWWWS"
"'AnterobAkteriyA","آنترروباكتريا","N1","1","WWWWWWS"
"'AnteropoloZi","آنتروپولوژي","N1","1","WWWWWS"
"'AnteropoloZik","آنتروپولوژيك","N1","1","WWWWWS"
"'Anteropometri","آنتروپومتري","N1","7","WWWWWS"
"'AntibAdi","آنتي‌بادي","N1","11","WWWS"
"'Antibiyotik","آنتي‌بيوتيك","N1","91","WWWWS"
"'AntibiyotikdAr","آنتي‌بيوتيك‌دار","A0","1","WWWWWS"
"'Antibiyotiki","آنتي‌بيوتيكي","A0","6","WWWWWS"
"'AntibiyotiktorApi","آنتي‌بيوتيك‌تراپي","N1","1","WWWWWWWS"
"'Antigon","آنتيگن","N1","1","WWS"
"'Antigon","آنتيگون","N1","6","WWS"
"'AntihistAmin","آنتي‌هيستامين","N1","5","WWWWS"
"'Antik","آنتيك","A0","1","WS"
"'Antikor","آنتي‌كر","N1","1","WWS"
"'AntilogAritm","آنتي‌لگاريتم","N1","1","WWWWS"
"'Antimon","آنتيمون","N1","1","WWS"
"'Antimu'An","آنتيموان","N1","1","WWWS"
"'Anti'oksidAn","آنتي‌اكسيدان","N1","35","WWWWS"
"'Anti'oksidAni","آنتي‌اكسيداني","N1","1","WWWWWS"
"'AntipAti","آنتيپاتي","N1","1","WWWS"
"'Antipirin","آنتي‌پيرين","N1","1","WWWS"
"'Antiporoton","آنتي‌پروتون","N1","1","WWWWS"
"'Antirik","آنتريك","N1","1","WWS"
"'Antiseptik","آنتي‌سپتيك","N1","1","WWWS"
"'Antitez","آنتي‌تز","N1","1","WWS"
"'Antitoksin","آنتي‌توكسين","N1","1","WWWS"
"'AntiZen","آنتي‌ژن","N1","8","WWS"
"'Antoni","آنتوني","N3","26","WWS"
"'Antoniyo","آنتونيو","N3","38","WWWS"
"'AntosiyAnin","آنتوسيانين","N1","1","WWWWS"
"'AntovAn","آنتوان","N3","4","WWS"
"'AntrAsen","آنتراسن","N1","1","WWS"
"'AntrAsit","آنتراسيت","N1","1","WWS"
"'AntrokinAz","آنتروكيناز","N1","1","WWWS"
"'Antrokok","آنتروكوك","N1","1","WWS"
"'Antropi","آنتروپي","N1","1","WWS"
"'Antropo'id","آنتروپوئيد","N1","1","WWWS"
"'Antropomorfism","آنتروپومرفيسم","N1","1","WWWWS"
"'Antropozo'ik","آنتروپوزوئيك","N1","1","WWWWS"
"'anud","عنود","A0","3","WS"
"'Anurism","آنوريسم","N1","1","WWS"
"'AnuS","آنوش","N3","1","WS"
"'anuSAbAd","انوش‌آباد","N2","1","WWWS"
"'anuSe","انوشه","N3","15","WWS"
"'anuSiravAn","انوشيروان","N3","45","WWWWS"
"'anuStakin","انوشتكين","N3","1","WWWS"
"'anvA'","انواع","N1","1470","WS"
"'anvAr","انوار","N1","15","WS"
"'anvar","انور","A0","62","WS"
"'Anvari","آن‌وري","A0","2","WWS"
"'anvAri","انواري","N4","12","WWS"
"'anvari","انوري","N4","15","WWS"
"'anvarsAdAt","انور‌سادات","N3","3","WWWS"
"'anyAb","انياب","N1","1","WS"
"'Anyon","آنيون","N1","1","WS"
"'AnZ","آنژ","N1","5","S"
"'anzAbi","انزابي","N4","15","WWS"
"'anzali","انزلي","N2","465","WWS"
"'anzaliCi","انزليچي","A0","1","WWWS"
"'anzAr","انظار","N1","15","WS"
"'anzarut","انزروت","N1","1","WWS"
"'Anzim","آنزيم","N1","45","WS"
"'Anzimi","آنزيمي","A0","2","WWS"
"'AnZin","آنژين","N1","12","WS"
"'AnZiyogerAfi","آنژيوگرافي","N1","15","WWWWWS"
"'anZiyogerAfi","انژيوگرافي","N1","2","WWWWWS"
"'AnZiyoloZi","آنژيولژي","N1","1","WWWWS"
"'anZiyoloZi","انژيوگرافي","N1","1","WWWWS"
"'AnZiyopelAsti","آنژيوپلاستي","N1","6","WWWWWS"
"'A'ort","آئورت","N1","5","WS"
"'ApAdAnA","آپادانا","N2","180","WWWS"
"'ApAndis","آپانديس","N1","3","WWS"
"'ApAndisit","آپانديسيت","N1","1","WWWS"
"'ApArAt","آپارات","N1","1","WWS"
"'ApArAtCi","آپاراتچي","N1","1","WWWS"
"'ApArdi","آپاردي","N1","1","WWS"
"'ApArtAyd","آپارتايد","N1","1","WWS"
"'ApArtAyid","آپارتايد","N1","7","WWWS"
"'ApArtemAn","آپارتمان","N1","60","WWWS"
"'ApArtemAni","آپارتماني","A0","30","WWWWS"
"'ApArtemAnisAzi","آپارتمان‌سازي","N1","3","WWWWWWS"
"'ApArtemAnneSini","آپارتمان‌نشيني","N1","1","WWWWWWS"
"'ApArti","آپارتي","A0","1","WWS"
"'apaxSi","اپخشي","N1","1","WWS"
"'Apis","آپيس","N1","1","WS"
"'AplikAtor","آپليكاتور","N1","1","WWWS"
"'Aplikeduzi","آپليكه‌دوزي","N1","1","WWWWS"
"'aplikeySen","اپليكيش","N1","1","WWWS"
"'Apo'Anzim","آپوآنزيم","N1","1","WWWS"
"'Apolo","آپولو","N1","15","WWS"
"'AprAksi","آپراكسي","N1","1","WWS"
"'apSak","اپشك","N1","1","WS"
"'AqA","آغا","N1","4","WS"
"'AqA","آقا","N1","6900","WS"
"'AqA","آقا","Sp","1","WS"
"'AqA'ahmadi","آقااحمدي","N4","2","WWWWS"
"'AqA'alineZAd","آقاعلي‌نژاد","N4","1","WWWWWS"
"'AqA'amu","آقاعمو","N1","1","WWWS"
"'aqab","عقب","N1","345","WS"
"'aqab","عقبه","N2","390","WS"
"'a'qAb","اعقاب","N1","6","WS"
"'AqAbAbA","آق‌بابا","N3","1","WWWS"
"'AqAbAbA'i","آقابابائي","N4","30","WWWWS"
"'AqAbAbAyi","آقابابايي","N4","3","WWWWS"
"'AqAbAlAsar","آقابالاسر","N1","1","WWWWS"
"'AqAbAlAsari","آقابالاسري","N1","1","WWWWWS"
"'AqAbaxSi","آقابخشي","N4","3","WWWS"
"'aqabgard","عقب‌‌گرد","N1","10","WWS"
"'aqabgardi","عقب‌‌گردي","N1","1","WWWS"
"'aqabi","عقبي","A0","8","WWS"
"'aqabmAnde","عقب‌مانده","A0","15","WWWS"
"'aqabmAndegi","عقب‌ماندگي","N1","30","WWWWS"
"'aqabneSini","عقب‌نشيني","N1","420","WWWWS"
"'aqaboftAde","عقب‌‌افتاده","A0","32","WWWWS"
"'aqaboftAdegi","عقب‌افتادگي","N1","15","WWWWWS"
"'AqAbozorg","آقا‌بزرگ","N1","2","WWWS"
"'aqabzadegi","عقب‌‌زدگي","N1","1","WWWWS"
"'AqAdAdAS","آقاداداش","N1","1","WWWS"
"'AqAdAyi","آقادايي","N1","1","WWWS"
"'aqAdir","اقادير","N1","4","WWS"
"'aqA'ed","عقائد","N1","11","WWS"
"'AqA'i","آقائي","N4","8","WWS"
"'AqAjAn","آقاجان","N1","1","WWS"
"'AqAjAni","آقاجاني","N4","6","WWWS"
"'AqAjAniyAn","آقاجانيان","N4","10","WWWWS"
"'AqAjAri","آغاجاري","N2","9","WWWS"
"'AqAjari","آغاجري","N4","16","WWWS"
"'AqAjari","آقاجري","N4","1","WWWS"
"'AqAkarimi","آقاكريمي","N4","1","WWWWS"
"'AqAl","آغال","V1","5000","WS"
"'a'qal","اعقل","A0","1","WS"
"'AqAleS","آغالش","N1","1","WWS"
"'AqAlid","آغاليد","V2","5000","WWS"
"'aqAlim","اقاليم","N1","4","WWS"
"'aqall","اقل","A0","3","WS"
"'aqallan","اقلاً","Ad","7","WWS"
"'aqalliyat","اقليت","N1","570","WWWS"
"'aqalliyati","اقليتي","A0","30","WWWWS"
"'aqalliyyatnamA","اقليت‌نما","A0","1","WWWWWS"
"'aqalliyyatsAlAri","اقليت‌سالاري","N1","1","WWWWWWS"
"'AqAllu","آقالو","N4","2","WWS"
"'AqAmali","آقاملي","N4","15","WWWS"
"'AqAmaneS","آقامنش","A0","1","WWWS"
"'AqAmiri","آقاميري","N4","15","WWWS"
"'AqAmirzA","آقاميرزا","N3","1","WWWS"
"'AqAmohammad","آغا‌محمد","N3","3","WWWWS"
"'AqAmohammadi","آقا‌محمدي","N4","25","WWWWWS"
"'AqAmohammadxAn","آغا‌محمدخان","N3","3","WWWWWS"
"'AqAmohammadxAn","آقامحمدخان","N3","1","WWWWWS"
"'AqAmuSe","آقاموشه","N1","1","WWWS"
"'AqAnabAti","آقانباتي","N4","3","WWWWS"
"'AqAnane","آقاننه","N1","1","WWWS"
"'AqAnAseri","آقاناصري","N4","1","WWWWS"
"'AqAnavAz","آقانواز","N4","1","WWWS"
"'aqAnim","اقانيم","N1","1","WWS"
"'AqApesar","آقاپسر","N1","1","WWWS"
"'AqApur","آقاپور","N4","3","WWS"
"'aqAqi","اقاقي","N1","1","WWS"
"'aqAqiyA","اقاقيا","N1","15","WWWS"
"'AqAr","آغار","N1","9","WS"
"'Aqar","آغر","V1","5000","WS"
"'aqAr","عقار","N1","1","WS"
"'AqAre","آغاره","N1","1","WWS"
"'aqAreb","اقارب","N1","9","WWS"
"'AqArezAyi","آقارضايي","N4","2","WWWWS"
"'Aqarid","آغريد","V2","5000","WWS"
"'aqArir","اقارير","N1","1","WWS"
"'AqAsafari","آقاصفري","N4","1","WWWWS"
"'AqAsi","آغاسي","N4","14","WWS"
"'AqAsi","آقاسي","N4","30","WWS"
"'aqAsi","اقاصي","N1","1","WWS"
"'AqAsizAde","آقاسي‌زاده","N4","1","WWWWS"
"'aqAvil","اقاويل","N1","1","WWS"
"'AqAxAn","آقاخان","N3","17","WWS"
"'AqAxAni","آقاخاني","N4","15","WWWS"
"'aqAyed","عقايد","N1","165","WWS"
"'aqAyednegAri","عقايدنگاري","N1","1","WWWWWS"
"'AqAyi","آقايي","N4","15","WWS"
"'AqAyidust","آقايي‌دوست","N4","1","WWWS"
"'AqAz","آغاز","N1","4785","WS"
"'AqAz","آغاز","V1","5000","WS"
"'AqAzAde","آقازاده","N4","45","WWWS"
"'AqAzgar","آغازگر","N1","15","WWS"
"'AqAzgari","آغازگري","N1","14","WWWS"
"'AqAzi","آغازي","A0","75","WWS"
"'AqAzid","آغازيد","V2","5000","WWS"
"'AqAzin","آغازين","A0","105","WWS"
"'AqAziyAn","آغازيان","N1","1","WWWS"
"'AqAzkonande","آغاز‌كننده","A0","6","WWWWS"
"'AqAzSode","آغاز‌شده","A0","3","WWWS"
"'AqbAnu","آقبانو","N1","1","WWS"
"'AqCAy","آغ‌چاي","N2","1","WS"
"'AqCAy","آق‌چاي","N2","2","WS"
"'AqCeSme","آق‌چشمه","N2","1","WWS"
"'aqd","عقد","N1","135","S"
"'aqdam","اقدم","A0","5","WS"
"'aqdami","اقدمي","N4","5","WWS"
"'aqdan","عقداً","Ad","10","WS"
"'AqdAq","آق‌داغ","N2","1","WS"
"'Aqdarre","آغ‌دره","N2","2","WWS"
"'aqdas","اقدس","A0","30","WS"
"'aqdasi","اقدسي","N4","1","WWS"
"'aqdasiyye","اقدسيه","N3","5","WWWS"
"'AqdASlu","آغداشلو","N4","7","WWS"
"'aqdkarde","عقدكرده","A0","1","WWS"
"'aqdkonAn","عقدكنان","N1","1","WWS"
"'aqdnAme","عقدنامه","N1","30","WWS"
"'Aqebat","عاقبت","N1","45","WWS"
"'AqebatandiS","عاقبت‌انديش","A0","1","WWWWS"
"'AqebatandiSi","عاقبت‌‌انديشي","N1","2","WWWWWS"
"'Aqebatbexeyr","عاقبت‌بخير","A0","1","WWWWS"
"'Aqebatsanji","عاقبت‌‌سنجي","N1","1","WWWWS"
"'Aqed","عاقد","N1","1","WS"
"'Aqel","عاقل","A0","300","WS"
"'AqelAne","عاقلانه","A0","105","WWWS"
"'Aqele","عاقله","N1","1","WWS"
"'AqelezAn","عاقله‌‌زن","A0","1","WWWS"
"'Aqeli","عاقلي","N1","2","WWS"
"'Aqelmard","عاقل‌مرد","A0","1","WWS"
"'AqerqarhA","عاقرقرحا","N1","1","WWWS"
"'AqeSt","آغشت","V2","5000","WS"
"'AqeSte","آغشته","A0","45","WWS"
"'aqidati","عقيدتي","A0","450","WWWS"
"'aqidatisiyAsi","عقيدتي‌‌سياسي","A0","6","WWWWWWS"
"'aqide","عقيده","N1","555","WWS"
"'aqide'i","عقيده‌‌اي","A0","45","WWWS"
"'aqidemand","عقيده‌مند","A0","15","WWWS"
"'aqidesAzi","عقيده‌‌سازي","N1","1","WWWWS"
"'Aqil","آغيل","N1","1","WS"
"'aqil","عقيل","N3","34","WS"
"'aqili","عقيلي","N4","23","WWS"
"'aqilizAde","عقيلي‌‌زاده","N4","1","WWWWS"
"'aqim","عقيم","A0","15","WS"
"'aqimi","عقيمي","N1","2","WWS"
"'aqimsAzi","عقيم‌‌سازي","N1","2","WWWS"
"'aqiq","عقيق","N1","15","WS"
"'aqiqe","عقيقه","N1","2","WWS"
"'aqiqi","عقيقي","A0","6","WWS"
"'aqiqiravAn","عقيقي‌روان","N4","15","WWWWS"
"'aqiqneSAn","عقيق‌‌نشان","A0","2","WWWS"
"'aql","عقل","N1","675","S"
"'aqlab","اغلب","Ad","750","WS"
"'aqlAm","اقلام","N1","240","WS"
"'aqlAni","عقلاني","A0","345","WWS"
"'aqlAnisAzi","عقلاني‌‌سازي","N1","1","WWWWS"
"'aqlAniyyat","عقلانيت","N1","15","WWWS"
"'aqlAt","اغلاط","N1","1","WS"
"'aqlbAvari","عقل‌‌باوري","N1","1","WWWS"
"'aqlgerA","عقلگرا","A0","30","WWS"
"'aqlgerA'i","عقل‌‌گرائي","N1","1","WWWS"
"'aqlgerAyAne","عقل‌‌گرايانه","Ad","1","WWWWS"
"'aqlgerAyi","عقل‌‌گرايي","N1","5","WWWS"
"'aqli","عقلي","A0","210","WS"
"'aqlmadAr","عقل‌‌مدار","A0","1","WWS"
"'aqlparasti","عقل‌‌پرستي","N1","1","WWWS"
"'aqlsetAyi","عقل‌‌ستايي","N1","2","WWWS"
"'aqlsetiz","عقل‌‌ستيز","A0","1","WWS"
"'aqmAr","اقمار","N1","11","WS"
"'aqmAri","اقماري","A0","11","WWS"
"'AqmollA","آق‌ملا","N2","1","WWS"
"'aqniyA","اغنيا","N1","30","WWS"
"'aqniyA","اغنياء","N1","2","WWS"
"'Aqol","آغل","N1","30","WS"
"'Aqol","آغول","N1","1","WS"
"'Aqonitun","آقونيطون","N1","1","WWWS"
"'Aqoz","آغز","N1","1","WS"
"'Aqq","عاق","N1","1","S"
"'Aqqal'e","آق‌قلعه","N2","1","WWS"
"'AqqallA","آق‌قلا","N2","14","WWS"
"'Aqqoyunlu","آق‌قويونلو","N1","2","WWWS"
"'AqqSode","عاق‌‌شده","A0","1","WWS"
"'aqrab","اقرب","A0","1","WS"
"'aqrab","عقرب","N1","15","WS"
"'aqrabak","عقربك","N1","1","WWS"
"'aqrabe","عقربه","N1","18","WWS"
"'aqrabe'i","عقربه‌‌اي","A0","1","WWWS"
"'aqrabhA","عقربها","N1","1","WWS"
"'aqrabnemAyAn","عقرب‌نمايان","N1","1","WWWWS"
"'aqrAn","اقران","N1","1","WS"
"'aqrAz","اغراض","N1","120","WS"
"'aqrebA","اقربا","N1","1","WWS"
"'aqsA","اقصا","A0","15","WS"
"'aqsA","اقصي","A0","50","WS"
"'aqsAm","اقسام","N1","45","WS"
"'aqsAnoqAt","اقصانقاط","N1","60","WWWS"
"'aqSAr","اقشار","N1","195","WS"
"'aqsAt","اقساط","N1","60","WS"
"'aqsAti","اقساطي","A0","45","WWS"
"'Aqsonqor","آق‌سنقر","N1","1","WWS"
"'aqtAb","اقطاب","N1","1","WS"
"'Aqtappe","آق‌تپه","N2","1","WWS"
"'aqtAr","اقطار","N1","13","WS"
"'Aqti","آقطي","N1","1","WS"
"'AqtiyAn","آقطيان","N1","1","WWS"
"'AquS","آغوش","N1","105","WS"
"'Aquz","آغوز","N1","15","WS"
"'aqvA","اقوي","A0","1","WS"
"'aqvAl","اقوال","N1","60","WS"
"'aqvAm","اقوام","N1","585","WS"
"'aqvAmi","اقوامي","N4","27","WWS"
"'aqviyA","اقويا","A0","1","WWS"
"'aqviyA","اقوياء","A0","1","WWS"
"'aqyAr","اغيار","N1","30","WS"
"'aqziye","اغذيه","N1","9","WWS"
"'aqziyefuruSi","اغذيه‌فروشي","N1","2","WWWWWS"
"'Ar","r","Al","1","S"
"'Ar","R","Al","2","S"
"'Ar","آر","Ab","1","S"
"'Ar","آر","N1","1","S"
"'ar","ار","Ad","20","S"
"'Ar","عار","N1","15","S"
"'ar","عر","N1","30","S"
"'ArA","آرا","N1","690","WS"
"'ArA","آرا","V1","5000","WS"
"'ArA","آراء","N1","19","WS"
"'arab","عرب","N1","855","WS"
"'a'rAb","اعراب","N1","615","WS"
"'arab'AbAdi","عرب‌‌آبادي","N4","1","WWWWS"
"'arab'ali","عربعلي","N3","1","WWWS"
"'arab'alizAde","عربعلي‌‌زاده","N4","1","WWWWWS"
"'arabAne","عربانه","N1","30","WWWS"
"'ArAbesk","آرابسك","N1","1","WWS"
"'arabestAn","عربستان","N2","1140","WWWS"
"'arabestAneso'udi","عربستان‌‌سعودي","N2","2","WWWWWWWS"
"'arabestAni","عربستاني","A0","15","WWWWS"
"'arabestAniyol'asl","عربستاني‌‌الاصل","A0","1","WWWWWWS"
"'arabhoseyni","عرب‌‌حسيني","N4","1","WWWWS"
"'arabi","عربي","A0","1455","WWS"
"'a'rAbi","اعرابي","A0","4","WWS"
"'arabinevis","عربي‌‌نويس","A0","1","WWWWS"
"'arabizabAn","عربي‌‌زبان","A0","9","WWWWS"
"'arablu","عربلو","N4","3","WWS"
"'arabmaqsudi","عرب‌‌مقصودي","N4","1","WWWWS"
"'arabneSin","عرب‌‌نشين","A0","6","WWWS"
"'arabneZAd","عرب‌نژاد","A0","15","WWWS"
"'arabniyA","عرب‌‌نيا","N4","4","WWWS"
"'arabniyuz","عرب‌نيوز","N1","15","WWWS"
"'arabpur","عربپور","N4","2","WWS"
"'arabSAh","عربشاه","N3","1","WWS"
"'arabSAhi","عربشاهي","N4","9","WWWS"
"'arabsorxi","عرب‌‌سرخي","N4","2","WWWS"
"'arabtabAr","عرب‌‌تبار","A0","3","WWWS"
"'arabzabAn","عرب‌زبان","A0","15","WWWS"
"'arabzAde","عرب‌‌زاده","N4","6","WWWS"
"'ArAd","آراد","N1","13","WS"
"'ArAdAn","آرادان","N2","1","WWS"
"'arA'ez","عرائض","N1","15","WWS"
"'arafAt","عرفات","N1","510","WWS"
"'arafAtol'ASeqin","عرفات‌‌العاشقين","N1","4","WWWWWWS"
"'arafe","عرفه","N1","43","WWS"
"'arAjif","اراجيف","N1","2","WWS"
"'arAk","اراك","N2","150","WS"
"'arAki","اراكي","A0","19","WWS"
"'ArAl","آرال","N2","1","WS"
"'ArAm","آرام","A0","555","WS"
"'ArAm","آرام","V1","5000","WS"
"'arAmane","ارامنه","N1","15","WWWS"
"'ArAmArAm","آرام‌آرام","Ad","2","WWWS"
"'ArAmband","آرامبند","N1","1","WWS"
"'ArAmbaxS","آرام‌بخش","A0","15","WWS"
"'ArAmbaxSi","آرام‌بخشي","N1","15","WWWS"
"'ArAmeS","آرامش","N1","765","WWS"
"'ArAmeSAfarin","آرامش‌آفرين","A0","1","WWWWWS"
"'ArAmeSbaxS","آرامش‌بخش","A0","45","WWWS"
"'ArAmeSdahande","آرامش‌دهنده","A0","2","WWWWWS"
"'ArAmeSi","آرامشي","A0","4","WWWS"
"'ArAmeSsAz","آرامش‌ساز","A0","1","WWWS"
"'ArAmeStalab","آرامش‌طلب","A0","1","WWWWS"
"'ArAmeStalabi","آرامش‌طلبي","N1","2","WWWWWS"
"'ArAmeSzA","آرامش‌زا","A0","1","WWWS"
"'ArAmgAh","آرامگاه","N1","1095","WWS"
"'ArAmgah","آرامگه","N1","1","WWS"
"'ArAmgAh","آرمگاه","N1","2","WWS"
"'ArAmgAhi","آرامگاهي","A0","15","WWWS"
"'ArAmgAhsAzi","آرامگاه‌سازي","N1","1","WWWWS"
"'ArAmgAn","آرامگان","N1","1","WWS"
"'ArAmi","آرامي","N1","30","WWS"
"'ArAmid","آراميد","V2","5000","WWS"
"'Aramid","آرميد","V2","5000","WWS"
"'Aramide","آرميده","A0","9","WWWS"
"'ArAmko","آرامكو","N1","7","WWS"
"'ArAmkonande","آرام‌كننده","A0","3","WWWWS"
"'ArAmkonandegi","آرام‌كنندگي","N1","1","WWWWWS"
"'ArAmpaz","آرام‌پز","N1","1","WWS"
"'ArAmsAzi","آرام‌سازي","N1","30","WWWS"
"'ArAn","آران","N2","24","WS"
"'ArAni","آراني","A0","2","WWS"
"'Aranj","آرنج","N1","18","WS"
"'arAq","عراق","N2","2715","WS"
"'araq","عرق","N1","15","WS"
"'arAqCi","عراقچي","N4","4","WWS"
"'araqCin","عرقچين","N1","15","WWS"
"'araqfuruSi","عرق‌فروشي","N1","1","WWWWS"
"'araqgaz","عرق‌گز","N1","1","WWS"
"'araqgir","عرقگير","N1","1","WWS"
"'araqgiri","عرقگيري","N1","1","WWWS"
"'arAqi","عراقي","A0","150","WWS"
"'araqi","عرقي","A0","3","WWS"
"'araqiyyAt","عرقيات","N1","1","WWWS"
"'arAqizAde","عراقي‌زاده","N4","15","WWWWS"
"'araqkeSi","عرق‌كشي","N1","1","WWWS"
"'araqsuz","عرق‌‌سوز","N1","1","WWS"
"'araqxor","عرقخور","A0","1","WWS"
"'araqxori","عرقخوري","N1","1","WWWS"
"'ar'ar","عرعر","N1","2","WS"
"'ArArAt","آرارات","N2","45","WWS"
"'AraS","آرش","N3","60","WS"
"'aras","ارس","N2","45","WS"
"'arasAt","عرصات","N1","1","WWS"
"'arasbArAn","ارسباران","N2","45","WWWS"
"'arasbArAnSenAsi","ارسباران‌شناسي","N1","30","WWWWWWS"
"'araSk","ارشك","N3","2","WS"
"'araSmidos","ارشميدس","N3","1","WWWS"
"'arasmus","ارسموس","N3","1","WWS"
"'ArAst","آراست","V2","5000","WS"
"'ArAste","آراسته","A0","90","WWS"
"'ArAstegi","آراستگي","N1","8","WWWS"
"'ArAstexu","آراسته‌خو","A0","2","WWWS"
"'arastu","ارسطو","N3","165","WWS"
"'arastu'i","ارسطوئي","A0","1","WWWS"
"arastupur","ارسطوپور","N4","1","WWWS"
"'arastur","ارس‌تور","N1","1","WWS"
"'arastuSenAs","ارسطوشناس","A0","1","WWWWS"
"'Arastuyi","ارسطويي","A0","3","WWWS"
"'ArAy","آراي","N1","2","WS"
"'ArAye","آرايه","N1","9","WWS"
"'ArAyegar","آرايه‌گر","N1","1","WWWS"
"'ArAyeS","آرايش","N1","60","WWS"
"'ArAyeSgAh","آرايشگاه","N1","3","WWWS"
"'ArAyeSgar","آرايشگر","N1","8","WWWS"
"'ArAyeSgari","آرايشگري","N1","1","WWWWS"
"'ArAyeSi","آرايشي","A0","30","WWWS"
"'ArAyeSkarde","آرايش‌كرده","A0","1","WWWWS"
"'ArAyeSSode","آرايش‌شده","A0","1","WWWWS"
"'arAyez","عرايض","N1","30","WWS"
"'ArAyid","آراييد","V2","5000","WWS"
"'araz","عرض","N1","30","WS"
"'a'rAz","اعراض","N1","30","WS"
"'arAzel","اراذل","N1","60","WWS"
"'arAzelo'owbAS","اراذل‌و‌اوباش","N1","1","WWWWWS"
"'arAzi","اراضي","N1","690","WWS"
"'arazi","عرضي","A0","16","WWS"
"'arba'","اربع","N1","1","WS"
"'arbAb","ارباب","N1","90","WS"
"'arbAbAne","اربابانه","A0","1","WWWS"
"'arbAberoju'","ارباب‌رجوع","N1","15","WWWWS"
"'arbAbi","اربابي","A0","9","WWS"
"'arbAbigari","اربابيگري","N1","1","WWWWS"
"'arbAbiyAn","اربابيان","N4","1","WWWS"
"'arbAbmaneS","ارباب‌منش","A0","1","WWWS"
"'arbAbmaneSAne","ارباب‌منشانه","Ad","2","WWWWWS"
"'arbAbora'yati","ارباب‌و‌رعيتي","A0","1","WWWWWS"
"'arbAbra'yati","ارباب‌رعيتي","N1","2","WWWWS"
"'arbade","عربده","N1","7","WWS"
"'arbadeju","عربده‌جو","N1","30","WWWS"
"'arbadeju'i","عربده‌‌جوئي","N1","1","WWWWS"
"'arbadekeSi","عربده‌‌كشي","N1","1","WWWWS"
"'arba'e","اربعه","A0","30","WWS"
"'arba'in","اربعين","N1","60","WWS"
"'arbel","اربل","N2","1","WS"
"'arbil","اربيل","N2","9","WS"
"'Ard","آرد","N1","330","S"
"'ardakAn","اردكان","N2","45","WWS"
"'ardakAni","اردكاني","A0","2","WWWS"
"'ardalAn","اردلان","N3","15","WWS"
"'ardalAni","اردلاني","N4","2","WWWS"
"'ArdAle","آرداله","N1","1","WWS"
"'ArdAlu","آردالو","N1","1","WWS"
"'ardavAl","اردوال","N1","1","WWS"
"'ardavAn","اردوان","N3","60","WWS"
"'Ardbiz","آردبيز","N1","1","WS"
"'arde","ارده","N1","2","WS"
"'ardebil","اردبيل","N2","690","WWS"
"'ardebili","اردبيلي","A0","60","WWWS"
"'ardebilSenAsi","اردبيل‌شناسي","N1","1","WWWWWS"
"'ardehAl","اردهال","N2","15","WWS"
"'arde'i","ارده‌اي","A0","1","WWS"
"'Ardel","آردل","N1","15","WS"
"'Arden","آردن","N1","1","WS"
"'ardeSir","اردشير","N3","285","WWS"
"'ardeSire","ارده‌شيره","N1","1","WWWS"
"'ardeSirxore","اردشير‌خوره","N2","1","WWWWS"
"'ardestAn","اردستان","N2","45","WWS"
"'ardestAni","اردستاني","A0","150","WWWS"
"'ardestAnizAde","اردستاني‌زاده","N4","1","WWWWWS"
"'ArdfuruSi","آرد‌فروشي","N1","1","WWWS"
"'Ardi","آردي","A0","45","WS"
"'Ardine","آردينه","N1","1","WWS"
"'ArdsAzi","آردسازي","N1","6","WWS"
